832 830
51 445 579
3 95 -21
620 780 -814
447 552 -152
161 247 -816
702 336 -413
431 356 601
468 294 166
832 351 -152
753 432 -193
42 323 -891
418 44 681
558 356 -109
644 256 363
91 828 -721
208 14 53
518 327 -429
181 81 528
795 794 -818
229 381 -524
96 553 -62
467 625 844
412 414 -554
312 473 166
143 671 -75
629 626 -265
594 738 -278
733 51 -810
47 28 828
707 118 771
459 148 -930
825 389 -320
86 519 -432
476 810 886
832 777 298
248 639 -641
469 620 133
372 7 -407
456 629 20
354 627 155
336 334 971
804 71 775
764 179 -195
50 235 -498
77 41 -701
366 200 -942
381 40 -598
222 319 3
828 424 517
302 748 212
411 516 637
312 101 -192
230 566 -295
747 457 -264
499 810 534
308 344 520
146 817 -802
333 712 21
354 727 678
473 377 -254
83 631 977
758 772 -129
202 754 748
18 38 534
692 220 -953
45 620 -379
340 161 346
323 205 360
342 88 -725
397 472 -617
255 214 879
399 765 -347
16 2 336
295 817 677
542 720 112
238 60 -127
687 799 -392
497 784 754
633 25 -54
559 143 -113
281 11 -678
287 138 83
73 626 976
703 467 642
709 229 -171
780 125 -541
549 503 334
583 275 768
41 22 -928
100 691 947
135 514 613
335 601 -975
820 490 -542
690 777 272
740 692 565
759 671 -696
735 307 -606
754 209 -656
481 672 -388
658 179 736
296 245 423
727 305 612
613 84 -346
233 277 919
813 627 899
526 53 -863
44 773 663
172 689 -535
108 288 615
352 499 432
419 356 -665
74 55 454
53 609 376
464 817 -356
637 532 273
387 227 495
15 776 441
742 147 580
80 128 101
123 290 -701
175 357 -481
150 255 -335
273 137 -403
811 579 470
50 391 840
219 25 -541
44 606 720
803 510 -833
747 608 592
535 198 -345
705 675 -926
556 393 806
475 768 580
70 262 -761
100 509 635
829 319 -636
109 681 -927
825 366 981
686 344 375
828 246 -230
486 229 225
50 222 984
605 499 -522
111 386 383
816 222 -635
356 88 622
270 606 -719
444 251 -978
3 488 -745
307 111 491
772 626 -178
571 749 33
53 545 316
92 449 -324
183 488 753
360 171 794
534 375 -423
34 826 -366
514 158 864
571 454 552
575 356 -387
204 43 956
764 156 -225
775 76 741
573 46 -733
41 394 -759
721 704 -667
771 609 -105
717 765 -141
753 761 865
260 533 -521
435 378 -336
720 537 262
693 95 685
692 489 341
643 302 -615
805 24 -954
263 690 938
660 248 -896
817 263 818
365 310 -66
48 217 -904
171 56 -593
293 676 -364
646 658 -413
591 668 649
163 176 639
382 464 -521
626 83 -637
680 598 771
275 568 -635
783 410 -530
701 790 -26
507 550 987
166 722 644
492 378 621
797 312 -535
247 330 -949
391 728 191
338 501 471
818 107 383
806 337 -851
542 738 -221
29 6 -896
612 450 355
64 400 -977
63 299 -344
829 51 -727
29 589 936
260 247 -606
456 274 736
154 593 -356
561 761 718
740 707 -405
506 722 -752
412 147 917
115 768 505
625 382 884
433 172 -271
443 345 913
445 723 260
769 454 116
204 354 349
92 71 -508
632 529 105
411 831 -806
158 109 760
561 60 749
563 644 84
265 292 -47
9 522 -627
796 334 780
752 422 -908
5 808 -1
710 389 909
300 91 830
489 609 -585
257 326 -916
366 169 641
578 495 -569
106 201 -547
311 227 798
684 592 -701
163 202 -276
735 247 -536
25 685 -718
576 707 -689
320 738 -710
475 202 -652
627 807 451
782 113 975
339 294 -417
44 522 -475
644 523 708
46 125 -909
161 745 40
223 830 -497
139 356 -746
591 266 -312
782 585 -14
42 304 362
435 135 96
172 714 -942
95 55 -44
264 254 215
62 785 -451
542 709 914
127 804 -7
755 476 -491
9 523 408
562 51 -640
31 305 688
782 377 -988
377 304 138
599 459 67
618 594 -210
608 371 464
329 423 -652
565 496 -893
420 528 722
474 567 143
121 37 595
796 556 368
118 22 -535
285 494 -663
576 390 -723
52 503 -380
504 719 136
501 442 -422
760 613 -240
326 136 623
396 710 922
149 712 -250
801 349 -34
282 311 294
649 149 840
608 480 348
103 350 -483
151 275 -671
787 583 -860
479 271 266
593 520 504
749 47 136
794 824 510
271 741 -595
327 462 869
109 825 -789
608 755 255
23 631 -397
504 251 -101
530 167 448
673 671 -836
541 324 620
829 353 -967
699 369 -196
746 654 693
506 437 363
748 330 786
450 431 -322
331 241 235
463 682 596
89 590 957
428 223 745
779 97 58
76 762 -994
566 405 -788
831 691 -436
462 790 186
35 188 987
402 322 25
197 702 177
751 560 -365
815 774 127
437 185 -400
807 694 -295
631 642 -764
365 613 -549
105 774 -133
139 751 296
503 262 -546
796 322 413
228 397 -19
696 47 -819
752 614 51
89 801 -636
567 815 736
176 66 -383
149 650 170
316 225 56
318 719 -219
623 720 -909
596 371 744
135 817 680
315 584 443
207 449 -107
804 398 -3
456 691 556
509 618 -40
7 438 190
103 616 -865
407 363 -638
94 173 491
541 797 -259
623 698 758
63 199 -107
789 335 -857
564 597 -34
752 342 -203
298 77 315
489 438 -196
720 426 -290
698 135 669
316 202 -217
300 678 437
514 19 -314
223 211 158
752 551 -443
657 688 -699
292 725 783
659 315 -155
476 322 62
17 293 -745
253 119 721
222 658 -757
458 225 -858
352 365 -669
77 237 11
477 724 -341
396 2 373
609 312 461
767 646 -385
121 199 803
318 192 735
571 769 422
550 292 -987
644 56 -572
594 474 51
389 56 745
103 287 -608
745 606 342
200 109 973
38 56 -554
65 598 -14
518 140 767
519 65 733
668 17 -98
761 592 779
125 459 -291
562 637 -297
498 635 520
536 499 -356
723 110 -922
449 373 -382
172 506 -429
278 412 472
443 749 615
5 504 747
443 13 575
315 569 -343
42 430 -249
729 424 478
449 387 234
369 817 -669
102 761 -238
384 770 942
595 153 77
593 467 822
529 240 135
549 583 235
797 30 -30
290 740 -535
313 792 467
452 776 -108
511 223 -849
187 385 96
323 582 -449
795 434 49
271 620 -258
799 119 -823
351 162 754
789 277 -214
760 555 -221
470 306 23
591 253 192
146 645 -626
793 41 885
550 811 506
788 504 -576
534 166 150
828 70 823
191 342 343
653 376 490
209 411 572
29 433 327
713 701 828
782 359 448
131 584 259
475 343 239
3 497 392
302 251 822
692 537 249
206 75 -492
542 238 968
738 788 545
17 610 -873
673 340 -157
101 491 -976
530 117 -486
214 5 -295
548 386 704
697 184 -362
503 277 244
764 116 205
450 61 237
607 561 -72
273 801 -848
309 284 -435
9 656 -601
258 670 709
405 475 58
732 802 678
43 457 525
203 231 685
795 348 19
115 624 -306
586 583 -557
813 505 -556
515 374 -496
726 130 -43
768 27 -654
406 568 -653
574 782 34
622 189 -338
738 270 -637
156 516 -910
679 257 714
590 784 -757
341 215 -578
107 257 -132
150 125 868
297 250 65
121 280 500
420 778 33
550 714 704
690 17 40
154 537 -989
433 190 176
9 630 -593
610 784 858
99 621 773
447 256 101
415 26 -186
709 188 -420
272 796 -819
721 95 -314
500 647 -511
352 539 463
192 675 574
524 157 561
365 791 -155
687 500 -855
723 255 -755
339 196 -838
785 610 -500
563 438 -680
620 438 609
807 502 405
367 312 -118
481 389 -311
558 174 898
580 432 -742
402 74 -39
2 140 14
686 648 -524
297 722 729
696 823 -442
808 510 -456
798 769 -258
414 818 -740
679 712 193
32 490 858
796 31 -918
591 642 -369
108 299 339
606 648 -500
484 655 -471
497 180 4
131 95 -171
657 134 -760
501 527 -753
748 285 415
506 832 -329
697 757 -996
524 504 -381
652 434 -265
237 777 -509
517 129 444
283 734 -968
816 631 747
431 638 987
297 684 -250
350 375 862
424 764 172
443 447 683
31 88 -241
361 224 392
71 280 -700
615 399 412
764 825 943
725 745 799
562 465 391
246 715 635
774 719 913
316 751 -386
802 69 -231
740 689 -274
63 218 -369
285 406 663
274 512 -133
829 257 -26
570 397 -376
663 518 -864
97 575 -797
429 318 104
376 82 487
221 255 -670
263 34 474
658 551 -598
387 195 451
440 486 128
649 55 778
107 661 -237
178 157 -307
696 599 -597
820 733 -749
505 588 -354
666 272 18
447 172 -762
678 733 -206
207 547 766
568 205 606
169 318 -763
688 196 -107
522 346 -415
756 812 307
613 384 -547
393 674 818
423 202 -612
320 486 393
723 466 -121
674 302 -452
529 517 -607
218 247 609
697 631 770
