985 2833
647 640 776
929 386 320
585 328 549
410 172 68
616 625 402
157 946 773
742 650 663
448 745 815
101 581 165
635 420 604
305 398 408
107 951 983
376 779 85
18 651 761
389 298 489
131 98 736
708 240 628
137 408 325
171 934 254
649 253 818
626 645 753
725 593 108
665 711 468
369 610 340
454 185 394
73 31 544
831 83 787
948 879 273
13 225 591
52 423 684
73 312 918
280 155 998
688 336 222
206 680 465
149 386 427
290 720 160
23 818 985
22 118 512
31 408 809
203 914 953
985 678 293
549 918 70
39 356 901
694 974 993
579 503 987
32 942 799
163 635 897
830 818 978
231 428 980
79 47 754
151 924 450
662 859 309
906 339 24
480 491 355
450 314 715
734 421 707
693 940 582
147 46 689
363 72 52
796 44 547
374 565 173
887 739 362
889 488 95
579 351 507
310 90 811
893 611 473
772 218 675
716 511 190
340 26 325
444 899 765
967 248 226
732 109 861
390 931 575
448 267 567
650 970 760
222 819 826
467 16 70
421 477 45
448 220 902
974 729 602
793 45 273
130 970 226
632 350 690
28 956 104
323 871 918
577 435 813
572 754 43
50 733 587
603 23 465
940 935 135
171 267 56
451 820 765
583 34 18
749 922 30
32 30 580
565 652 551
168 440 412
919 404 177
906 425 798
312 58 398
120 284 648
607 121 292
106 731 629
41 435 566
66 213 434
934 839 753
584 201 828
200 285 215
583 31 566
249 94 96
431 509 651
594 377 127
176 296 526
590 962 455
100 626 253
32 809 6
252 565 293
738 214 867
723 259 298
673 328 187
399 140 694
140 832 750
18 398 423
897 819 954
219 441 532
742 382 977
803 836 899
310 962 443
949 324 904
313 965 99
609 91 795
303 188 666
499 502 134
278 490 631
356 485 198
488 565 865
494 276 252
674 797 530
166 439 2
309 923 72
444 703 84
462 314 720
489 401 404
788 204 534
923 251 195
870 580 733
844 765 777
973 512 504
921 809 998
748 23 877
825 181 503
407 376 420
394 293 693
192 266 173
935 364 225
42 494 959
917 685 767
753 927 945
605 716 277
215 677 610
52 240 47
609 955 516
394 849 777
594 784 549
613 444 433
246 949 218
400 223 454
732 585 142
706 175 280
31 704 287
344 555 680
79 808 597
473 292 499
618 471 296
464 785 286
69 645 757
522 768 807
766 640 184
919 95 198
30 753 364
84 699 487
420 878 225
971 925 972
425 721 231
540 494 508
453 884 278
464 356 822
92 581 982
958 12 213
974 676 222
295 521 869
880 46 608
261 630 928
724 477 100
495 302 707
561 36 788
428 884 390
623 719 102
428 926 775
899 183 337
194 773 445
817 843 529
420 87 842
257 454 602
756 100 370
51 219 912
860 691 435
937 268 839
68 588 514
86 545 80
483 688 520
176 150 306
606 439 722
588 37 693
318 950 120
439 343 434
855 399 82
713 766 775
828 339 398
313 499 904
167 203 459
689 859 106
271 834 764
58 240 632
517 727 164
61 638 350
806 926 816
429 325 211
252 802 716
145 639 476
614 22 731
380 573 887
777 172 288
478 344 673
42 243 246
714 828 544
180 940 776
604 433 665
807 448 218
579 51 735
532 744 190
629 64 380
619 622 71
830 383 804
871 554 830
907 389 415
48 859 391
901 159 654
118 295 140
961 830 163
660 153 57
133 548 11
76 370 656
343 556 900
544 667 555
549 934 124
24 191 164
576 271 120
124 390 831
12 957 932
739 690 876
111 143 428
169 438 183
898 516 232
925 766 351
218 797 124
102 712 424
390 748 473
444 72 366
542 94 899
921 515 539
713 944 633
150 842 790
99 252 688
342 887 170
771 133 846
544 726 246
907 574 682
214 972 294
938 106 577
318 653 513
543 441 879
667 556 945
985 868 465
61 357 416
412 942 558
614 681 308
940 450 745
215 513 114
26 655 779
385 618 843
254 286 706
536 154 436
198 662 912
530 390 453
627 617 699
39 737 840
70 928 356
96 846 796
103 25 666
616 188 731
688 73 183
258 324 599
870 658 860
952 238 577
765 218 138
442 26 979
880 577 539
859 938 15
679 153 436
388 176 73
22 668 724
799 380 16
833 526 926
960 513 918
418 785 106
723 575 945
42 395 671
463 159 195
709 179 92
967 776 258
528 538 364
541 876 400
552 726 178
604 264 530
302 579 431
743 176 753
397 210 199
307 21 793
206 543 553
690 481 253
903 405 253
645 773 131
307 498 58
585 583 382
907 446 778
214 918 64
966 880 539
18 405 517
326 699 142
578 90 303
243 900 939
494 391 633
477 202 198
768 848 835
236 22 723
632 780 162
846 324 982
150 958 316
806 293 227
823 482 592
408 618 315
151 40 324
63 980 843
924 823 294
280 619 683
278 323 267
248 201 78
977 843 827
161 360 486
523 973 355
314 351 699
319 751 209
224 310 48
640 410 102
127 809 702
622 682 539
963 34 24
46 539 673
467 923 265
927 92 591
965 563 957
101 655 290
841 896 812
664 893 906
73 569 68
883 737 456
600 457 743
587 605 371
92 423 692
79 527 426
386 692 911
229 106 501
425 155 839
509 237 815
745 106 171
304 547 750
444 71 819
450 649 321
123 595 684
336 957 702
362 33 231
699 760 40
341 947 232
654 106 496
37 419 278
445 395 415
6 931 576
630 690 696
501 124 110
2 355 476
19 653 364
948 617 754
23 600 481
285 237 40
258 265 309
297 792 658
808 681 843
736 534 681
913 966 830
285 219 665
850 731 995
461 652 583
260 330 423
172 256 874
146 121 131
444 817 974
617 855 522
364 134 791
788 243 858
150 104 533
263 477 796
265 31 726
637 945 63
183 193 466
169 973 329
351 571 869
828 366 202
918 670 453
911 192 684
514 876 837
444 265 196
449 586 206
770 525 702
719 33 464
305 949 15
833 77 912
933 494 258
310 760 89
113 503 147
530 39 284
46 801 203
950 324 321
619 254 393
797 224 947
414 115 217
213 383 7
91 205 54
842 326 908
779 54 806
861 606 518
833 365 613
943 780 511
240 383 181
145 39 259
96 772 196
97 800 186
980 784 935
721 102 720
729 506 809
199 265 104
285 160 899
221 23 147
208 81 157
695 620 544
293 133 166
803 146 967
41 107 413
954 426 255
720 477 646
931 87 181
586 485 997
506 855 705
636 785 82
967 758 386
740 324 409
841 141 693
441 42 141
503 283 941
700 904 982
769 837 564
38 593 58
296 242 326
596 653 86
188 952 390
163 790 564
667 826 220
60 629 381
493 918 573
32 293 756
532 526 934
331 945 249
298 735 477
65 250 252
280 719 159
97 426 817
975 515 936
470 577 856
610 366 840
479 288 86
691 872 113
717 277 590
369 47 599
169 227 547
469 663 558
233 394 73
891 582 438
391 375 348
557 890 804
530 697 30
386 216 723
950 69 588
123 322 169
513 780 252
331 477 811
150 667 239
168 256 797
834 11 557
628 523 558
884 141 436
284 40 681
443 537 965
936 11 669
525 328 119
226 575 677
182 719 85
103 970 638
424 158 146
448 894 440
919 426 660
335 485 973
112 695 354
739 847 357
527 485 892
226 318 277
693 348 505
464 144 341
593 127 795
25 687 580
400 216 921
621 580 807
671 698 901
849 250 249
799 608 947
510 48 752
814 914 199
656 830 208
821 786 221
340 795 155
554 472 587
894 126 155
600 332 446
126 12 130
431 420 87
160 358 483
649 236 283
658 770 931
798 409 645
827 426 544
915 968 945
499 887 760
269 650 436
813 14 908
642 691 533
243 423 655
125 252 42
255 120 785
909 809 652
280 95 228
713 392 75
911 429 465
155 631 678
248 49 85
329 631 55
841 900 325
303 332 871
967 136 786
196 766 994
499 349 354
755 586 986
33 714 703
481 167 783
108 908 24
327 923 256
152 373 219
978 55 117
285 457 706
55 550 63
433 710 880
40 943 253
954 972 440
613 885 10
103 868 661
27 757 800
699 168 42
407 792 149
400 492 64
132 5 342
364 680 174
903 503 381
912 614 438
645 596 608
620 539 351
214 132 296
289 355 323
61 132 816
950 672 344
66 658 51
90 834 967
556 197 182
740 724 684
947 858 693
704 563 365
229 530 880
447 802 986
823 339 725
48 751 219
755 980 683
226 457 995
198 427 209
29 480 285
451 19 405
323 564 649
5 826 18
565 394 157
341 518 1000
588 502 818
242 272 891
198 519 312
300 220 525
101 383 302
828 927 325
126 802 38
985 493 967
396 594 546
124 542 595
562 434 850
663 257 455
859 639 943
496 744 162
156 824 919
615 544 437
969 836 395
936 575 69
942 372 395
771 920 268
754 695 932
325 230 760
499 414 417
705 785 660
942 352 936
407 132 372
273 194 459
508 938 710
889 531 809
86 795 420
639 409 818
402 814 18
584 952 320
497 804 587
971 424 403
615 324 776
247 828 1
77 392 690
269 725 809
12 485 871
167 681 448
401 792 360
415 893 542
641 535 208
889 792 89
481 488 915
222 936 465
394 452 451
324 869 34
393 23 643
813 76 769
190 450 183
793 624 20
429 252 738
856 499 706
910 662 84
637 896 688
264 198 921
323 492 383
317 953 795
583 809 524
936 28 706
454 954 433
216 688 330
352 931 182
54 139 985
30 112 682
884 303 456
132 298 26
387 473 217
537 862 788
265 710 139
326 94 149
11 436 161
75 892 125
344 927 773
663 875 375
918 865 465
614 820 433
504 62 430
604 648 197
323 780 804
33 88 431
479 713 752
786 66 441
753 142 516
971 316 323
800 174 159
941 769 98
92 229 959
218 24 192
817 147 435
930 667 301
362 314 204
446 19 606
471 391 938
591 494 500
917 285 898
60 703 603
858 705 150
384 23 59
485 958 340
371 422 478
319 824 920
490 792 157
560 865 111
905 594 410
899 980 27
107 636 114
934 833 722
323 931 315
386 958 242
325 85 172
443 337 590
360 874 110
199 636 790
65 660 614
418 407 995
698 66 209
15 19 252
183 577 837
518 499 628
464 817 718
267 173 85
573 632 925
149 610 244
412 966 211
120 889 455
627 568 112
474 82 72
796 335 853
436 661 136
256 442 826
127 502 41
3 71 364
619 962 4
138 431 166
805 743 848
43 859 535
65 184 315
320 255 408
452 32 415
518 724 295
748 520 306
718 890 543
468 343 368
396 416 322
188 705 28
485 350 985
185 563 4
385 838 474
578 275 849
389 280 855
673 606 202
399 368 449
45 145 960
554 436 372
937 956 764
784 891 619
818 652 998
615 936 954
770 73 789
960 729 886
971 968 351
907 671 984
790 618 660
652 459 116
402 537 959
132 431 374
129 913 698
56 297 818
63 273 818
513 439 260
120 439 91
642 533 862
55 270 240
677 58 37
943 914 975
170 744 171
208 176 543
616 375 800
682 259 831
54 755 602
661 880 591
477 411 803
737 20 139
436 535 603
262 191 420
402 506 429
968 840 267
71 300 419
359 478 99
279 103 372
572 873 986
941 368 749
655 653 214
597 333 132
738 180 272
236 648 637
729 277 585
114 154 332
588 721 273
896 426 355
107 821 453
162 912 581
928 713 526
642 385 235
171 265 774
248 246 467
9 114 514
480 6 531
888 281 430
406 483 389
336 781 299
902 42 499
320 278 203
211 475 257
62 116 746
823 669 617
19 960 221
883 322 686
457 725 230
326 484 455
92 967 899
443 411 849
684 33 794
235 670 388
90 785 108
490 899 931
899 157 474
338 487 350
203 644 391
450 436 939
914 500 821
587 355 786
920 345 351
381 166 939
602 765 388
102 847 89
273 921 570
75 498 598
264 869 469
512 439 995
48 860 87
961 169 988
11 706 312
417 746 709
127 47 634
227 538 323
450 665 472
374 756 600
830 449 718
484 733 642
932 582 816
605 105 694
612 734 823
602 153 43
211 391 105
900 519 844
969 791 344
730 798 65
696 533 473
472 184 670
775 682 472
299 275 308
505 81 161
339 19 438
304 419 708
753 958 711
732 331 238
347 572 482
244 872 738
867 338 573
329 646 199
907 93 396
727 439 169
309 852 66
338 618 368
310 33 593
247 440 66
246 286 262
493 492 736
629 486 105
173 370 852
805 933 300
890 830 846
99 546 738
705 588 146
163 131 532
919 772 456
657 12 549
383 346 15
703 728 291
559 937 429
619 156 441
640 315 409
733 757 699
24 68 932
240 695 162
934 628 795
167 393 136
303 781 341
352 156 697
217 384 684
31 921 746
846 637 913
385 369 283
600 20 301
699 797 144
291 617 13
229 939 842
702 558 94
454 639 726
487 950 40
968 10 663
351 2 362
755 707 786
465 776 797
718 443 936
375 47 245
829 824 390
983 245 177
773 150 318
39 365 131
20 140 150
111 739 11
87 789 772
385 736 453
791 319 279
985 822 852
837 134 388
685 115 379
850 758 665
658 459 641
8 795 870
903 932 374
813 553 957
199 702 820
939 177 67
509 11 845
617 714 477
804 334 869
442 893 304
306 168 148
556 120 232
51 928 650
96 464 243
848 25 44
207 312 742
330 2 480
709 14 750
54 159 577
932 81 154
389 284 932
978 526 87
458 635 140
512 334 604
619 940 196
299 878 209
867 214 568
302 654 583
112 789 982
726 741 337
272 364 197
520 537 717
819 290 962
423 18 761
829 789 896
289 349 52
106 663 408
2 247 396
513 630 620
293 542 428
560 533 975
564 757 673
85 622 890
404 503 567
917 48 860
233 847 451
646 824 430
961 330 633
530 910 159
440 172 117
878 713 678
966 531 843
556 798 859
31 662 15
804 208 696
149 53 920
224 523 962
358 406 311
488 409 59
328 759 39
110 291 719
12 976 333
563 790 630
137 457 498
771 268 574
768 27 625
843 177 119
196 172 961
787 13 943
386 677 234
878 757 609
254 441 751
417 337 714
279 983 289
355 814 504
738 116 836
238 922 213
744 139 89
349 407 653
450 932 696
304 349 332
406 567 505
254 23 918
626 717 631
865 780 199
612 947 713
202 701 26
15 773 161
679 361 592
613 686 401
761 476 471
942 250 273
137 841 352
796 471 205
88 948 262
128 36 538
844 970 637
71 434 312
295 796 674
561 832 703
878 662 824
327 376 701
255 718 708
901 162 321
176 742 350
77 839 717
631 128 563
943 17 794
96 256 712
714 798 987
593 623 665
667 59 343
317 749 408
788 974 441
206 349 648
45 595 323
340 285 785
185 11 984
329 677 560
621 635 112
637 347 92
68 608 729
686 781 261
361 391 785
917 391 102
875 741 843
837 860 244
523 666 952
673 192 930
106 154 6
38 218 906
150 75 288
153 87 413
622 170 436
66 259 845
294 697 698
652 828 732
513 953 659
729 67 906
902 563 439
381 775 756
825 666 729
850 252 281
773 765 189
797 512 496
155 263 792
962 881 239
98 373 658
91 564 145
147 581 25
776 101 788
378 51 405
876 771 614
810 203 492
110 196 866
425 824 884
192 36 305
791 339 153
314 40 570
569 77 707
502 466 778
355 22 318
936 30 134
115 779 843
364 761 61
676 331 814
456 815 794
136 532 367
874 442 643
900 306 638
160 859 991
640 62 540
486 94 500
859 99 807
830 41 6
861 490 860
1 954 406
30 918 318
343 842 498
28 623 110
305 822 118
837 297 130
852 633 650
921 333 357
391 276 716
596 781 257
1 753 791
615 540 28
648 23 597
531 694 928
296 623 67
631 730 482
952 759 189
139 691 220
868 390 384
461 385 866
248 927 485
150 81 186
565 792 489
189 353 113
787 932 151
82 428 809
152 510 882
440 734 713
412 726 58
678 230 834
806 476 290
405 594 618
662 472 270
299 597 835
315 425 514
532 167 57
277 747 366
479 216 970
823 688 520
724 591 551
446 885 662
471 756 422
421 888 696
426 517 118
910 117 868
768 761 176
362 713 445
400 796 69
205 852 254
234 371 358
470 829 561
923 834 546
297 526 919
194 333 971
641 271 899
493 655 406
967 432 756
256 556 688
804 739 107
817 503 768
980 369 653
187 427 753
372 703 509
748 974 974
228 5 646
581 648 937
577 579 749
978 154 475
870 88 871
108 154 312
650 40 246
699 221 234
703 383 444
568 127 18
3 749 993
134 828 129
896 376 536
36 316 361
639 865 67
672 911 795
798 169 590
8 250 578
152 4 157
775 78 487
939 435 705
218 535 985
251 696 807
314 628 735
916 201 265
306 509 94
318 301 248
845 615 151
505 946 388
845 680 367
90 340 150
564 94 186
732 394 660
188 765 468
349 589 502
556 589 30
908 330 937
669 973 441
387 878 331
815 677 517
99 231 291
242 497 31
894 840 372
962 468 811
943 498 214
358 581 177
274 361 444
61 464 239
184 1 518
139 8 685
240 485 407
648 164 3
107 503 314
736 877 328
270 391 711
759 823 547
257 310 909
34 872 141
470 446 392
936 357 100
71 512 587
918 718 671
459 570 574
914 307 821
138 810 337
568 579 954
288 809 335
130 319 822
617 566 794
814 316 414
305 679 4
883 483 108
733 470 60
637 515 825
311 735 625
692 925 943
534 340 270
258 526 112
485 729 363
985 242 882
522 613 350
464 759 632
736 797 477
100 430 878
167 814 284
508 639 855
72 806 813
580 434 438
678 120 988
248 835 649
529 114 586
939 2 29
187 851 373
955 224 402
952 210 537
551 440 927
377 76 395
680 15 707
721 592 798
114 7 250
697 807 83
195 333 741
219 148 422
583 895 618
202 403 662
110 27 216
430 128 527
578 706 471
492 787 612
754 194 861
16 401 949
612 361 360
386 2 192
482 504 677
620 224 220
63 691 39
597 170 687
310 527 378
177 882 26
952 636 635
239 17 573
190 50 652
114 738 241
118 866 191
31 616 481
560 265 356
141 33 332
932 138 209
466 709 229
505 593 916
543 31 981
504 600 399
580 104 293
432 8 931
114 490 994
865 811 425
139 281 914
513 694 53
658 37 525
176 144 13
600 339 593
119 74 992
208 839 405
551 859 966
656 873 549
200 433 716
478 862 808
429 246 402
953 724 94
143 349 204
332 525 770
944 961 849
346 944 245
514 190 144
112 864 441
473 572 788
250 259 610
568 507 174
194 509 272
312 390 783
496 112 132
336 406 764
698 519 424
411 763 764
55 283 913
181 968 989
434 415 993
759 619 445
796 148 426
856 49 868
904 907 497
177 717 471
282 592 907
40 599 88
320 216 812
92 116 934
217 2 86
591 814 913
405 611 707
594 289 681
493 346 522
939 857 794
662 607 835
844 17 728
706 598 265
508 530 689
708 232 954
691 241 560
185 442 375
190 928 604
851 650 462
361 606 983
652 266 348
699 830 243
701 709 905
78 553 40
602 267 857
254 955 580
319 137 42
177 377 464
489 376 743
686 47 439
39 473 532
601 16 924
715 719 592
840 353 748
60 354 670
213 776 385
644 848 194
311 823 863
374 984 69
25 342 409
723 145 30
250 287 199
498 894 443
910 723 464
388 791 231
158 897 897
848 688 703
529 526 256
808 63 613
358 365 916
693 638 833
783 813 409
224 524 278
975 236 676
299 53 200
431 418 252
796 767 57
798 226 537
661 862 380
531 810 632
762 583 248
891 353 936
955 811 972
94 319 210
53 420 769
114 415 314
815 235 640
227 65 262
940 869 503
360 138 151
943 706 122
839 28 559
936 310 803
204 309 725
859 784 794
890 498 714
788 751 189
78 967 978
401 340 458
672 630 463
968 526 147
97 176 223
879 463 693
328 500 251
217 425 701
709 954 146
110 947 785
935 916 535
900 46 993
658 172 643
272 149 716
442 225 986
475 354 57
354 82 145
839 921 802
436 168 557
854 643 316
65 555 290
205 349 726
756 82 43
882 955 209
317 523 15
365 177 151
432 800 454
4 633 279
535 505 932
416 195 228
416 847 291
352 194 297
216 10 153
833 126 793
935 168 502
68 792 242
442 710 440
188 78 217
674 315 719
48 824 150
895 452 112
152 648 400
190 61 594
540 508 329
431 521 932
742 485 632
163 850 667
970 431 1000
754 140 374
389 349 700
665 746 320
678 974 542
833 965 873
913 369 827
726 756 343
45 963 667
639 695 292
285 192 257
349 86 442
525 341 528
183 22 605
212 352 719
792 708 761
136 444 340
318 440 416
402 49 729
399 821 417
404 295 927
421 105 758
217 60 857
799 540 139
535 765 263
842 170 877
695 955 572
341 556 861
713 686 793
77 480 808
667 749 55
748 443 511
100 540 640
818 293 704
34 43 917
484 270 337
470 580 708
960 362 861
302 639 207
155 14 745
232 642 115
452 697 597
148 791 514
725 76 116
958 820 816
140 331 804
726 104 960
652 693 976
663 162 513
605 242 186
76 520 999
769 916 808
201 473 813
395 213 907
893 671 486
210 447 682
913 731 889
533 578 112
415 859 989
891 768 984
122 879 178
573 652 957
366 765 293
777 848 336
938 260 728
269 130 555
317 660 265
616 971 247
178 670 541
826 588 942
406 123 764
864 169 666
18 631 938
815 129 24
318 310 426
355 354 257
814 851 136
861 165 441
36 919 823
376 702 766
829 858 986
712 800 775
853 364 533
953 157 372
86 142 553
13 395 114
879 863 897
145 170 511
958 327 406
405 170 907
271 373 590
160 681 940
494 765 991
524 540 622
15 562 265
835 440 232
563 399 323
676 142 837
623 752 21
314 668 737
741 359 956
621 419 701
198 65 71
626 833 263
157 469 103
703 983 724
159 875 926
776 591 708
316 264 171
696 91 776
418 261 125
103 504 970
109 386 281
685 411 585
712 164 245
936 203 238
899 385 452
437 399 389
182 917 526
813 724 425
710 286 860
467 97 839
971 719 583
408 796 721
97 102 76
324 626 235
700 642 772
875 721 422
201 524 455
306 371 252
853 650 139
539 455 563
841 324 762
933 156 745
956 418 571
769 169 860
208 546 398
518 135 960
333 334 716
426 771 204
969 412 673
934 97 423
75 254 343
237 165 512
31 374 449
124 399 454
86 392 90
89 77 109
736 879 361
534 346 739
456 344 238
680 818 320
102 709 931
430 264 285
99 625 797
553 400 536
962 295 856
841 541 531
722 541 669
976 771 883
939 6 255
585 709 986
406 528 809
626 277 31
496 872 381
586 794 485
475 954 788
118 729 431
499 603 251
636 952 422
214 210 493
604 603 830
717 961 175
520 816 556
609 208 53
812 472 677
650 383 932
682 341 545
285 873 735
868 227 263
493 546 711
342 204 453
533 340 901
24 113 414
631 874 186
362 267 996
75 129 330
221 85 320
767 127 270
714 81 819
976 504 243
369 291 415
69 851 956
394 388 341
141 826 127
790 328 335
639 979 57
143 949 828
258 246 547
225 483 780
515 854 236
668 233 739
591 401 415
11 820 175
533 226 85
805 467 52
727 190 380
643 644 72
944 5 934
496 279 484
823 708 752
978 516 699
458 518 552
84 636 116
476 84 416
522 190 205
913 401 840
879 435 570
909 942 228
870 485 629
749 703 294
829 174 903
392 535 380
574 104 296
467 256 155
255 335 815
198 449 730
553 650 495
316 404 587
312 424 237
87 746 347
379 640 803
345 68 310
583 777 38
815 506 36
374 712 656
277 885 757
161 429 555
574 800 91
381 575 846
214 727 947
683 504 615
501 930 986
737 332 650
557 251 864
528 459 237
753 428 672
464 395 255
814 868 183
591 939 66
182 374 848
887 857 583
446 444 174
190 451 1
317 810 300
263 190 751
622 39 960
536 732 126
685 128 500
463 664 701
891 690 279
350 753 292
769 78 633
746 784 273
860 957 311
49 233 224
247 968 639
735 430 332
536 89 323
35 164 148
156 270 828
347 518 766
19 132 305
977 84 831
813 296 443
756 744 432
802 592 756
510 167 451
845 805 695
435 524 831
513 56 88
926 527 445
657 45 589
57 99 687
332 654 570
818 57 420
975 914 209
659 831 899
102 910 742
655 965 508
981 103 837
865 837 882
632 169 720
305 117 776
479 912 344
558 227 266
562 951 423
637 325 916
677 614 516
721 607 531
237 677 190
730 771 27
978 50 988
545 494 658
579 336 7
71 872 257
429 338 214
182 867 69
672 723 353
49 2 155
799 34 165
653 947 161
874 59 963
658 164 909
665 183 78
596 439 528
803 844 204
858 485 53
707 92 402
341 300 390
207 91 446
4 426 940
857 681 929
255 43 438
585 545 249
507 279 559
871 424 807
843 950 484
167 409 467
558 688 438
68 252 754
353 863 624
228 53 977
308 231 761
223 325 130
159 58 750
575 298 123
453 472 519
72 861 486
606 919 581
740 844 303
495 832 386
925 709 336
930 42 723
280 470 530
455 22 927
943 274 41
642 221 836
531 182 82
714 766 533
906 890 572
76 977 973
657 618 644
564 76 247
884 333 812
95 915 638
703 139 911
63 294 731
129 309 157
431 891 48
841 820 210
857 684 677
565 167 920
680 415 475
205 922 424
